,borough,neighborhood,building class category,tax class at present,block,lot,ease-ment,building class at present,address,apartment number,zip code,residential units,commercial units,total units,land square feet,gross square feet,year built,tax class at time of sale,building class at time of sale,sale price,sale date,gross square feet log,sale price log
10815,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,3972,9, ,B1,269 ESSEX STREET                         ,            ,11208,2,0,2,5000,1620,1901,1,B1,444000,2013-01-24,7.3901814282264295,13.003579841414362
10816,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,3973,161, ,B9,775 LIBERTY AVE                          ,            ,11208,2,0,2,1500,3300,2006,1,B9,420000,2013-01-14,8.101677747454572,12.948009990259552
10817,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,3976,21, ,B2,35 MONTAUK AVENUE                        ,            ,11208,2,0,2,2500,1396,1910,1,B2,155000,2012-09-27,7.241366283322318,11.951180395901384
10819,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,3976,50, ,B2,44 MILFORD STREET                        ,            ,11208,2,0,2,1667,1536,1910,1,B2,170000,2013-01-29,7.336936913707618,12.043553716032399
10821,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,3981,34, ,B2,609 GLENMORE AVENUE                      ,            ,11207,2,0,2,2500,1384,1910,1,B2,445000,2013-05-22,7.232733136177615,13.005829561148378
10822,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,3983,2, ,B2,353 WARWICK STREET                       ,            ,11207,2,0,2,2250,1176,1910,1,B2,141400,2013-05-30,7.069874128458572,11.85934803244461
10823,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,3983,2, ,B2,353 WARWICK STREET                       ,            ,11207,2,0,2,2250,1176,1910,1,B2,141400,2013-05-30,7.069874128458572,11.85934803244461
10825,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,3985,32, ,B2,707 GLENMORE AVENUE                      ,            ,11208,2,0,2,2500,1188,1910,1,B2,494000,2013-07-14,7.080026499922591,13.110290796170059
10826,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,3991,34, ,B3,855 GLENMORE AVE                         ,            ,11208,2,0,2,2008,2244,1910,1,B3,399000,2013-06-26,7.716015266642587,12.896716695872
10827,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,3999,1, ,B2,401 WARWICK STREET                       ,            ,11207,2,0,2,2250,1708,1899,1,B2,150000,2013-02-11,7.443078374348516,11.918390573078392
10828,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4000,22, ,B2,424 CLEVELAND ST                         ,            ,11208,2,0,2,2250,1476,1901,1,B2,469000,2013-07-19,7.297091005160418,13.058358047428417
10829,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4000,22, ,B2,424 CLEVELAND STREET                     ,            ,11208,2,0,2,2250,1476,1901,1,B2,205000,2013-02-28,7.297091005160418,12.230765258120545
10830,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4000,22, ,B2,424 CLEVELAND STREET                     ,            ,11208,2,0,2,2250,1476,1901,1,B2,192100,2013-02-28,7.297091005160418,12.165771348756648
10832,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4002,29, ,B1,472 LINWOOD STREET                       ,            ,11208,2,0,2,1550,3430,2010,1,B1,440000,2013-05-10,8.140315540159985,12.994530005894443
10834,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4003,26, ,B2,394 ESSEX STREET                         ,            ,11208,2,0,2,2475,1744,1910,1,B2,420000,2012-08-15,7.463936604468925,12.948009990259552
10835,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4008,9, ,B2,163 MONTAUK AVENUE                       ,            ,11208,2,0,2,2009,1480,1901,1,B2,420000,2012-08-30,7.299797366758161,12.948009990259552
10839,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4012,5, ,B3,345 SCHENCK AVE                          ,            ,11207,2,0,2,2500,1136,1899,1,B3,385000,2013-03-12,7.035268599281097,12.86099861326992
10841,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4012,5, ,B3,345 SCHENCK AVENUE                       ,            ,11207,2,0,2,2500,1136,1899,1,B3,163254,2012-08-13,7.035268599281097,12.003062549135592
10842,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4014,4, ,B2,377 JEROME STREET                        ,            ,11207,2,0,2,2500,1200,1901,1,B2,397500,2013-04-03,7.090076835776092,12.892950213076524
10843,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4014,31, ,B2,649 BELMONT AVE                          ,            ,11207,2,0,2,1875,1488,1901,1,B2,470000,2013-05-24,7.305188215393037,13.060487973686241
10844,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4014,31, ,B2,649 BELMONT AVENUE                       ,            ,11207,2,0,2,1875,1488,1901,1,B2,147000,2012-09-06,7.305188215393037,11.898187865760873
10845,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4014,39, ,B2,385 JEROME STREET                        ,            ,11207,2,0,2,2000,3487,2004,1,B2,465000,2012-10-25,8.156797046675651,13.049792684569493
10846,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4016,23, ,B2,2380 PITKIN AVENUE                       ,            ,11207,2,0,2,1800,2100,2008,1,B2,391560,2013-07-17,7.649692623711514,12.877894039375366
10847,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4016,42, ,B1,683 BELMONT AVENUE                       ,            ,11207,2,0,2,1800,1840,1901,1,B1,417316,2012-12-04,7.517520850603031,12.941599007565204
10850,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4021,29, ,B3,208 BERRIMAN STREET                      ,            ,11208,2,0,2,2000,2240,1899,1,B3,610000,2012-11-13,7.7142311448490855,13.321214236149494
10852,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4025,27, ,B1,352 VAN SICLEN AVENUE                    ,            ,11207,2,0,2,1710,1800,1901,1,B1,467000,2012-10-15,7.495541943884256,13.054084536651034
10853,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4025,32, ,B1,362 VAN SICLEN AVENUE                    ,            ,11207,2,0,2,1710,1800,1901,1,B1,248000,2013-02-26,7.495541943884256,12.421184025147118
10857,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4032,39, ,B1,943 SUTTER AVENUE                        ,            ,11207,2,0,2,1800,3000,1925,1,B1,520000,2013-01-18,8.006367567650246,13.16158409055761
10858,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4036,3, ,B1,495 ESSEX STREET                         ,            ,11208,2,0,2,1560,1900,1901,1,B1,260000,2013-07-08,7.549609165154532,12.468436909997665
10859,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4036,26, ,B1,490 SHEPHERD AVENUE                      ,            ,11208,2,0,2,2350,1800,1901,1,B1,453000,2013-01-30,7.495541943884256,13.023647404465171
10860,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4036,26, ,B1,490 SHEPHERD AVE                         ,            ,11208,2,0,2,2350,1800,1901,1,B1,250000,2012-08-13,7.495541943884256,12.429216196844383
10862,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4037,14, ,B2,236 BERRIMAN STREET                      ,            ,11208,2,0,2,3408,2740,2004,1,B2,490000,2013-05-24,7.9157131993821155,13.102160670086809
10863,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4041,11, ,B1,467 MILLER AVENUE                        ,            ,11207,2,0,2,1900,1880,1930,1,B1,440000,2012-10-15,7.539027055823995,12.994530005894443
10865,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4041,46, ,B1,424 VAN SICLEN AVENUE                    ,            ,11207,2,0,2,1900,2000,1930,1,B1,455000,2013-02-28,7.600902459542082,13.028052697933088
10867,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4041,51, ,B1,434 VAN SICLEN AVENUE                    ,            ,11207,2,0,2,1900,2000,1930,1,B1,448979,2012-12-09,7.600902459542082,13.014731395029276
10868,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4046,19, ,B1,455 JEROME STREET                        ,            ,11207,2,0,2,1595,2120,1901,1,B1,305000,2012-09-12,7.659171367666058,12.628067055589549
10870,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4051,7, ,B1,611 LINWOOD STREET                       ,            ,11208,2,0,2,1920,2000,1901,1,B1,468000,2013-04-30,7.600902459542082,13.056223574899784
10871,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4051,7, ,B1,611 LINWOOD STREET                       ,            ,11208,2,0,2,1920,2000,1901,1,B1,235000,2012-08-20,7.600902459542082,12.367340793126296
10872,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4053,33, ,B2,308 BERRIMAN STREET                      ,            ,11208,2,0,2,1875,1764,1901,1,B2,137800,2013-05-30,7.475339236566737,11.833558637561696
10873,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4054,26, ,S2,1088 SUTTER AVE                          ,            ,11208,2,1,3,1260,2240,1930,1,S2,175000,2012-08-06,7.7142311448490855,12.072541252905651
10874,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4055,25, ,B9,280 MONTAUK AVENUE                       ,            ,11208,2,0,2,1600,2829,2005,1,B9,414900,2013-01-30,7.947678571301568,12.93579280632096
10876,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4057,10, ,B3,533 MILLER AVENUE                        ,            ,11207,2,0,2,2565,1620,1901,1,B3,478000,2012-12-03,7.3901814282264295,13.077366011473593
10879,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4061,2, ,B1,607 BARBEY STREET                        ,            ,11207,2,0,2,2000,1306,1910,1,B1,176800,2013-01-09,7.174724309836376,12.08277442918568
10880,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4063,60, ,B9,925 DUMONT AVENUE                        ,            ,11207,2,0,2,1800,2970,2005,1,B9,445000,2012-12-06,7.996317231796746,13.005829561148378
10883,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4066,1, ,B1,587 ELTON STREET                         ,            ,11208,2,0,2,2115,2080,1901,1,B1,473700,2012-12-21,7.640123172695364,13.068329488911843
10884,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4066,29, ,B9,662 LINWOOD STREET                       ,            ,11208,2,0,2,1800,2920,2003,1,B9,265000,2013-03-22,7.979338895262328,12.487485104968359
10885,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4071,16, ,B9,361 ATKINS AVENUE                        ,            ,11208,2,0,2,2000,3068,2005,1,B9,200000,2012-08-30,8.028781162487148,12.206072645530174
10886,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4071,40, ,B1,356 MONTAUK AVENUE                       ,            ,11208,2,0,2,2000,2000,1901,1,B1,315879,2013-04-25,7.600902459542082,12.663114507847357
10887,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4072,9, ,B1,357 MONTAUK AVENUE                       ,            ,11208,2,0,2,2500,2000,1920,1,B1,260000,2013-06-28,7.600902459542082,12.468436909997665
10888,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4072,9, ,B1,357 MONTAUK AVENUE                       ,            ,11208,2,0,2,2500,2000,1920,1,B1,185000,2013-04-29,7.600902459542082,12.128111104060462
10889,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4072,12, ,B1,353 MONTAUK AVE                          ,            ,11208,2,0,2,2000,1800,1920,1,B1,395000,2013-07-03,7.495541943884256,12.886641043883259
10891,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4074,29, ,B1,616 HENDRIX STREET                       ,            ,11207,2,0,2,2000,2084,1930,1,B1,165000,2013-01-08,7.642044402873258,12.013700752882718
10893,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4077,55, ,B1,845 LIVONIA AVENUE                       ,            ,11207,2,0,2,800,1320,1901,1,B1,370000,2013-07-22,7.1853870155804165,12.821258284620408
10894,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4077,55, ,B1,845 LIVONIA AVENUE                       ,            ,11207,2,0,2,800,1320,1901,1,B1,165000,2012-10-17,7.1853870155804165,12.013700752882718
10895,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4078,5, ,B3,593 JEROME STREET                        ,            ,11207,2,0,2,2000,1730,1901,1,B3,98000,2013-06-25,7.455876687491824,11.49272275765271
10896,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4078,8, ,B1,587 JEROME STREET                        ,            ,11207,2,0,2,3000,2400,1910,1,B1,320000,2013-03-15,7.783224016336037,12.676076274775909
10897,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4078,18, ,B1,567 JEROME STREET                        ,            ,11207,2,0,2,2000,1508,1901,1,B1,545500,2013-05-30,7.318539548567902,13.209458084255262
10900,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4087,39, ,B1,598 VAN SICLEN AVENUE                    ,            ,11207,2,0,2,1900,3096,1901,1,B1,262500,2013-03-26,8.037866234709618,12.478006361013815
10901,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4089,9, ,B1,661 HENDRIX STREET                       ,            ,11207,2,0,2,2000,2772,1901,1,B1,434000,2013-03-06,7.927324360309794,12.980799813082541
10902,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4091,13, ,B1,612 JEROME STREET                        ,            ,11207,2,0,2,1600,1840,1901,1,B1,465000,2013-03-01,7.517520850603031,13.049792684569493
10903,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4091,13, ,B1,612 JEROME STREET                        ,            ,11207,2,0,2,1600,1840,1901,1,B1,140000,2012-09-11,7.517520850603031,11.84939770159144
10904,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4092,11, ,B1,691 NEW LOTS AVENUE                      ,            ,11207,2,0,2,3600,1785,1910,1,B1,440000,2013-06-26,7.487173694213739,12.994530005894443
10911,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4154,10, ,B2,331 LOGAN STREET                         ,            ,11208,2,0,2,2500,2700,2001,1,B2,460000,2013-07-30,7.90100705199242,13.038981768465277
10912,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4154,10, ,B2,331 LOGAN STREET                         ,            ,11208,2,0,2,2500,2700,2001,1,B2,225000,2013-01-31,7.90100705199242,12.323855681186558
10913,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4157,12, ,B2,33 CRYSTAL STREET                        ,            ,11208,2,0,2,1538,1556,1910,1,B2,280000,2013-01-17,7.349873704738337,12.542544882151386
10916,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4157,65, ,B2,384 CHESTNUT COURT                       ,            ,11208,2,0,2,1840,1800,1920,1,B2,24000,2013-07-08,7.495541943884256,10.085809109330082
10917,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4162,11, ,B1,3344 ATLANTIC AVENUE                     ,            ,11208,2,0,2,1169,1836,1910,1,B1,378507,2013-02-17,7.515344571180436,12.84398984574411
10921,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4164,43, ,B2,105 MCKINLEY AVENUE                      ,            ,11208,2,0,2,5000,2200,1910,1,B2,275000,2012-12-20,7.696212639346407,12.524526376648708
10922,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4167,38, ,B1,165 GLEN STREET                          ,            ,11208,2,0,2,2000,1510,1960,1,B1,280000,2012-10-05,7.31986492980897,12.542544882151386
10923,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4169,26, ,B9,396 AUTUMN AVENUE                        ,            ,11208,2,0,2,2442,3575,2003,1,B9,462000,2013-02-28,8.181720455128108,13.043320170063875
10924,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4172,56, ,B3,364 LINCOLN AVENUE                       ,            ,11208,2,0,2,2002,1493,1899,1,B3,260000,2013-02-20,7.30854279753919,12.468436909997665
10925,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4178,4, ,B1,409 ELDERT LANE                          ,            ,11208,2,0,2,2052,2080,1910,1,B1,100000,2013-05-29,7.640123172695364,11.512925464970229
10927,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4179,29, ,B2,7420 95TH AVE                            ,            ,11416,2,0,2,2142,2094,1910,1,B2,476000,2012-12-27,7.646831391430482,13.073173133213556
10929,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4180,8, ,B2,443 AUTUMN AVENUE                        ,            ,11208,2,0,2,2552,2400,1910,1,B2,350000,2013-05-31,7.783224016336037,12.765688433465597
10930,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4181,41, ,B1,116 SHERIDAN AVENUE                      ,            ,11208,2,0,2,1877,1848,1910,1,B1,260000,2012-08-28,7.521859252201629,12.468436909997665
10931,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4184,26, ,B1,429 ELDERT LANE                          ,            ,11208,2,0,2,2013,2080,1910,1,B1,300000,2012-11-20,7.640123172695364,12.611537753638338
10933,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4185,3, ,B1,165 FORBELL STREET                       ,            ,11416,2,0,2,922,2244,1905,1,B1,290000,2012-10-05,7.716015266642587,12.577636201962656
10937,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4192,13, ,B3,71 CRYSTAL STREET                        ,            ,11208,2,0,2,2000,1320,1920,1,B3,268000,2012-11-20,7.1853870155804165,12.498742259492994
10940,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4195,37, ,B1,362 PINE                                 ,            ,11208,2,0,2,1500,1326,1930,1,B1,330000,2013-06-05,7.189922170745808,12.706847933442663
10941,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4195,37, ,B1,362 PINE STREET                          ,            ,11208,2,0,2,1500,1326,1930,1,B1,200000,2012-09-11,7.189922170745808,12.206072645530174
10942,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4201,7, ,B2,489 AUTUMN AVENUE                        ,            ,11208,2,0,2,2000,2800,1901,1,B2,220000,2013-01-15,7.937374696163295,12.301382825334498
10944,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4201,32, ,B2,492 LINCOLN AVENUE                       ,            ,11208,2,0,2,2000,2712,1930,1,B2,510000,2013-05-24,7.905441649060286,13.142166004700508
10945,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4201,32, ,B2,492 LINCOLN AVENUE                       ,            ,11208,2,0,2,2000,2712,1930,1,B2,260000,2012-12-27,7.905441649060286,12.468436909997665
10948,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4207,35, ,B1,10526 RUBY STREET                        ,            ,11208,2,0,2,3132,2400,1950,1,B1,226300,2013-05-08,7.783224016336037,12.329616831621628
10951,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4209,1, ,B3,449 LOGAN STREET                         ,            ,11208,2,0,2,2000,1266,1930,1,B3,355000,2013-04-04,7.143617602704121,12.779873068457553
10953,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4210,29, ,B3,130 CRYSTAL STREET                       ,            ,11208,2,0,2,2000,1340,1930,1,B3,25000,2013-03-20,7.200424892944957,10.126631103850338
10954,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4212,16, ,B2,984 GLENMORE AVENUE                      ,            ,11208,2,0,2,2000,2000,1899,1,B2,13000,2013-02-04,7.600902459542082,9.472704636443673
10955,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4224,31, ,B3,236 FORBELL STREET                       ,            ,11208,2,0,2,1809,1336,1920,1,B3,291500,2013-06-13,7.197435354096591,12.582795284772684
10957,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4225,29, ,B2,566 DREW STREET                          ,            ,11208,2,0,2,2500,2248,1930,1,B2,280000,2013-06-04,7.717796211013582,12.542544882151386
10959,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4227,14, ,B3,213 MILFORD STREET                       ,            ,11208,2,0,2,2000,1696,1930,1,B3,200000,2013-06-11,7.4360278163518485,12.206072645530174
10960,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4228,40, ,B2,905 BELMONT AVE                          ,            ,11208,2,0,2,1800,1760,1930,1,B2,463500,2013-04-22,7.473069088032197,13.046561663988047
10964,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4236,24, ,B2,2810 PITKIN AVE                          ,            ,11208,2,0,2,2650,1656,1925,1,B2,315000,2012-09-28,7.412160334945205,12.66032791780777
10965,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4237,37, ,B2,1131 BELMONT AVENUE                      ,            ,11208,2,0,2,3000,2280,1930,1,B2,300000,2013-01-18,7.731930721948486,12.611537753638338
10966,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4242,10, ,B3,2922 PITKIN AVENUE                       ,            ,11208,2,0,2,1538,2040,1920,1,B3,425000,2013-04-25,7.620705086838262,12.959844447906553
10967,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4246,45, ,S2,1157 SUTTER AVENUE                       ,            ,11208,2,1,3,1800,2400,1910,1,S2,250000,2012-12-19,7.783224016336037,12.429216196844383
10968,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4248,31, ,B1,552 CHESTNUT STREET                      ,            ,11208,2,0,2,2958,2695,1970,1,B1,370000,2013-07-02,7.899153483343097,12.821258284620408
10970,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4251,17, ,B1,467 PINE STREET                          ,            ,11208,2,0,2,2400,1680,1960,1,B1,230000,2013-06-06,7.426549072397305,12.345834587905333
10971,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4252,7, ,B1,583 CRESCENT STREET                      ,            ,11208,2,0,2,1940,3120,1910,1,B1,213000,2013-06-24,8.045588280803528,12.269047444691562
10972,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4252,7, ,B1,583 CRESCENT STREET                      ,            ,11208,2,0,2,1940,3120,1910,1,B1,225000,2013-06-24,8.045588280803528,12.323855681186558
10975,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4253,40, ,B1,618 AUTUMN AVENUE                        ,            ,11208,2,0,2,1983,2299,1950,1,B1,335000,2012-08-13,7.740229524763182,12.721885810807203
10980,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4267,4, ,B1,559 PINE STREET                          ,            ,11208,2,0,2,1983,2120,1910,1,B1,10000,2013-06-11,7.659171367666058,9.210340371976184
10982,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4269,50, ,B9,1333 BLAKE AVENUE                        ,            ,11208,2,0,2,2000,2760,1960,1,B9,332000,2013-04-03,7.9229859587111955,12.712890247898626
10984,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4270,45, ,S2,680 LINCOLN AVENUE                       ,            ,11208,2,1,3,2500,3480,1910,1,S2,250000,2013-04-20,8.15478757276852,12.429216196844383
10985,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4281,27, ,B2,1260 BLAKE AVENUE                        ,            ,11208,2,0,2,2250,3352,1925,1,B2,296800,2013-01-22,8.117312461601975,12.600813790275362
10987,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4282,25, ,B9,1278 BLAKE AVENUE                        ,            ,11208,2,0,2,1800,1537,1965,1,B9,259000,2013-05-21,7.337587743538596,12.464583340681674
10989,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4283,57, ,B1,1337 DUMONT AVENUE                       ,            ,11208,2,0,2,2125,2620,1920,1,B1,225000,2013-01-03,7.8709295967551425,12.323855681186558
10990,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4283,141, ,B1,730 HEMLOCK STREET                       ,            ,11208,2,0,2,2433,1800,1965,1,B1,24000,2013-03-16,7.495541943884256,10.085809109330082
10991,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4284,9, ,B9,739 HEMLOCK STREET                       ,            ,11208,2,0,2,2000,2140,1910,1,B9,280000,2012-08-15,7.668561108015897,12.542544882151386
10992,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4291,12, ,B2,741 DREW STREET                          ,            ,11208,2,0,2,5701,2800,1998,1,B2,158500,2013-03-11,7.937374696163295,11.973509872299472
10993,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4291,147, ,B2,761 DREW STREET                          ,            ,11208,2,0,2,2050,3198,2005,1,B2,390000,2013-01-16,8.0702808933939,12.873902018105829
10995,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4296,29, ,B1,684 GEORGIA AVENUE                       ,            ,11207,2,0,2,2000,3024,1901,1,B1,440000,2012-12-19,8.014335737299424,12.994530005894443
10996,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4296,41, ,B1,485 HEGEMAN AVENUE                       ,            ,11207,2,0,2,1500,2036,1901,1,B1,220000,2013-04-16,7.618742377670413,12.301382825334498
10997,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4297,48, ,B1,493 HEGEMAN AVENUE                       ,            ,11207,2,0,2,1700,2510,1899,1,B1,240000,2013-03-01,7.828038032125829,12.388394202324129
10998,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4297,50, ,B1,705 GEORGIA AVENUE                       ,            ,11207,2,0,2,2000,3075,1899,1,B1,10574,2012-10-01,8.031060180240619,9.266153436795395
11000,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4298,68, ,B1,669 SHEFFIELD AVENUE                     ,            ,11207,2,0,2,1900,2080,1920,1,B1,405000,2013-02-28,7.640123172695364,12.911642346088676
11001,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4298,68, ,B1,669 SHEFFIELD AVENUE                     ,            ,11207,2,0,2,1900,2080,1920,1,B1,220000,2012-08-06,7.640123172695364,12.301382825334498
11003,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4299,12, ,B3,706 NEW JERSEY AVENUE                    ,            ,11207,2,0,2,1900,1692,1925,1,B3,420500,2012-12-06,7.433666540166168,12.94919975839514
11004,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4299,18, ,B1,720 NEW JERSEY AVENUE                    ,            ,11207,2,0,2,1900,2904,1920,1,B1,275000,2013-07-31,7.973844375944687,12.524526376648708
11007,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4305,27, ,B2,742 HENDRIX STREET                       ,            ,11207,2,0,2,3120,2112,1899,1,B2,559100,2012-11-21,7.655390644826152,13.234083627014737
11008,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4305,38, ,B1,762 HENDRIX STREET                       ,            ,11207,2,0,2,1720,2120,1925,1,B1,500000,2013-03-18,7.659171367666058,13.122363377404328
11010,3,EAST NEW YORK            ,02  TWO FAMILY HOMES                        ,1,4306,76, ,B2,713 HENDRIX STREET                       ,            ,11207,2,0,2,2975,2160,1920,1,B2,499000,2013-06-14,7.67786350067821,13.120361374733656
